from_patch,to_patch,length_km
p1,p2,11.111
p1,p3,22.222
p1,p4,33.333
p1,p5,44.444
p1,p6,55.556
p1,p7,66.667
p1,p8,77.778
p1,p9,88.889
p1,p10,11.111
p1,p11,15.713
p1,p12,24.845
p1,p13,35.136
p1,p14,45.812
p1,p15,56.656
p1,p16,67.586
p1,p17,78.567
p1,p18,89.581
p1,p19,22.222
p1,p20,24.845
p1,p21,31.427
p1,p22,40.062
p1,p23,49.690
p1,p24,59.835
p1,p25,70.273
p1,p26,80.890
p1,p27,91.625
p1,p28,33.333
p1,p29,35.136
p1,p30,40.062
p1,p31,47.140
p1,p32,55.556
p1,p33,64.788
p1,p34,74.536
p1,p35,84.620
p1,p36,94.933
p1,p37,44.444
p1,p38,45.812
p1,p39,49.690
p1,p40,55.556
p1,p41,62.854
p1,p42,71.146
p1,p43,80.123
p1,p44,89.581
p1,p45,99.381
p1,p46,55.556
p1,p47,56.656
p1,p48,59.835
p1,p49,64.788
p1,p50,71.146
p1,p51,78.567
p1,p52,86.781
p1,p53,95.581
p1,p54,104.822
p1,p55,66.667
p1,p56,67.586
p1,p57,70.273
p1,p58,74.536
p1,p59,80.123
p1,p60,86.781
p1,p61,94.281
p1,p62,102.439
p1,p63,111.111
p1,p64,77.778
p1,p65,78.567
p1,p66,80.890
p1,p67,84.620
p1,p68,89.581
p1,p69,95.581
p1,p70,102.439
p1,p71,109.994
p1,p72,118.113
p1,p73,88.889
p1,p74,89.581
p1,p75,91.625
p1,p76,94.933
p1,p77,99.381
p1,p78,104.822
p1,p79,111.111
p1,p80,118.113
p2,p3,11.111
p2,p4,22.222
p2,p5,33.333
p2,p6,44.444
p2,p7,55.556
p2,p8,66.667
p2,p9,77.778
p2,p10,15.713
p2,p11,11.111
p2,p12,15.713
p2,p13,24.845
p2,p14,35.136
p2,p15,45.812
p2,p16,56.656
p2,p17,67.586
p2,p18,78.567
p2,p19,24.845
p2,p20,22.222
p2,p21,24.845
p2,p22,31.427
p2,p23,40.062
p2,p24,49.690
p2,p25,59.835
p2,p26,70.273
p2,p27,80.890
p2,p28,35.136
p2,p29,33.333
p2,p30,35.136
p2,p31,40.062
p2,p32,47.140
p2,p33,55.556
p2,p34,64.788
p2,p35,74.536
p2,p36,84.620
p2,p37,45.812
p2,p38,44.444
p2,p39,45.812
p2,p40,49.690
p2,p41,55.556
p2,p42,62.854
p2,p43,71.146
p2,p44,80.123
p2,p45,89.581
p2,p46,56.656
p2,p47,55.556
p2,p48,56.656
p2,p49,59.835
p2,p50,64.788
p2,p51,71.146
p2,p52,78.567
p2,p53,86.781
p2,p54,95.581
p2,p55,67.586
p2,p56,66.667
p2,p57,67.586
p2,p58,70.273
p2,p59,74.536
p2,p60,80.123
p2,p61,86.781
p2,p62,94.281
p2,p63,102.439
p2,p64,78.567
p2,p65,77.778
p2,p66,78.567
p2,p67,80.890
p2,p68,84.620
p2,p69,89.581
p2,p70,95.581
p2,p71,102.439
p2,p72,109.994
p2,p73,89.581
p2,p74,88.889
p2,p75,89.581
p2,p76,91.625
p2,p77,94.933
p2,p78,99.381
p2,p79,104.822
p2,p80,111.111
p3,p4,11.111
p3,p5,22.222
p3,p6,33.333
p3,p7,44.444
p3,p8,55.556
p3,p9,66.667
p3,p10,24.845
p3,p11,15.713
p3,p12,11.111
p3,p13,15.713
p3,p14,24.845
p3,p15,35.136
p3,p16,45.812
p3,p17,56.656
p3,p18,67.586
p3,p19,31.427
p3,p20,24.845
p3,p21,22.222
p3,p22,24.845
p3,p23,31.427
p3,p24,40.062
p3,p25,49.690
p3,p26,59.835
p3,p27,70.273
p3,p28,40.062
p3,p29,35.136
p3,p30,33.333
p3,p31,35.136
p3,p32,40.062
p3,p33,47.140
p3,p34,55.556
p3,p35,64.788
p3,p36,74.536
p3,p37,49.690
p3,p38,45.812
p3,p39,44.444
p3,p40,45.812
p3,p41,49.690
p3,p42,55.556
p3,p43,62.854
p3,p44,71.146
p3,p45,80.123
p3,p46,59.835
p3,p47,56.656
p3,p48,55.556
p3,p49,56.656
p3,p50,59.835
p3,p51,64.788
p3,p52,71.146
p3,p53,78.567
p3,p54,86.781
p3,p55,70.273
p3,p56,67.586
p3,p57,66.667
p3,p58,67.586
p3,p59,70.273
p3,p60,74.536
p3,p61,80.123
p3,p62,86.781
p3,p63,94.281
p3,p64,80.890
p3,p65,78.567
p3,p66,77.778
p3,p67,78.567
p3,p68,80.890
p3,p69,84.620
p3,p70,89.581
p3,p71,95.581
p3,p72,102.439
p3,p73,91.625
p3,p74,89.581
p3,p75,88.889
p3,p76,89.581
p3,p77,91.625
p3,p78,94.933
p3,p79,99.381
p3,p80,104.822
p4,p5,11.111
p4,p6,22.222
p4,p7,33.333
p4,p8,44.444
p4,p9,55.556
p4,p10,35.136
p4,p11,24.845
p4,p12,15.713
p4,p13,11.111
p4,p14,15.713
p4,p15,24.845
p4,p16,35.136
p4,p17,45.812
p4,p18,56.656
p4,p19,40.062
p4,p20,31.427
p4,p21,24.845
p4,p22,22.222
p4,p23,24.845
p4,p24,31.427
p4,p25,40.062
p4,p26,49.690
p4,p27,59.835
p4,p28,47.140
p4,p29,40.062
p4,p30,35.136
