from_patch,to_patch,length_km
p1,p2,6.250
p1,p3,12.500
p1,p4,18.750
p1,p5,25.000
p1,p6,31.250
p1,p7,37.500
p1,p8,43.750
p1,p9,50.000
p1,p10,56.250
p1,p11,62.500
p1,p12,68.750
p1,p13,75.000
p1,p14,81.250
p1,p15,87.500
p1,p16,93.750
p1,p17,6.250
p1,p18,8.839
p1,p19,13.975
p1,p20,19.764
p1,p21,25.769
p1,p22,31.869
p1,p23,38.017
p1,p24,44.194
p1,p25,50.389
p1,p26,56.596
p1,p27,62.812
p1,p28,69.034
p1,p29,75.260
p1,p30,81.490
p1,p31,87.723
p1,p32,93.958
p1,p33,12.500
p1,p34,13.975
p1,p35,17.678
p1,p36,22.535
p1,p37,27.951
p1,p38,33.657
p1,p39,39.528
p1,p40,45.501
p1,p41,51.539
p1,p42,57.622
p1,p43,63.738
p1,p44,69.877
p1,p45,76.035
p1,p46,82.206
p1,p47,88.388
p1,p48,94.580
p1,p49,18.750
p1,p50,19.764
p1,p51,22.535
p1,p52,26.517
p1,p53,31.250
p1,p54,36.443
p1,p55,41.926
p1,p56,47.599
p1,p57,53.400
p1,p58,59.293
p1,p59,65.252
p1,p60,71.261
p1,p61,77.308
p1,p62,83.385
p1,p63,89.486
p1,p64,95.607
p1,p65,25.000
p1,p66,25.769
p1,p67,27.951
p1,p68,31.250
p1,p69,35.355
p1,p70,40.020
p1,p71,45.069
p1,p72,50.389
p1,p73,55.902
p1,p74,61.555
p1,p75,67.315
p1,p76,73.154
p1,p77,79.057
p1,p78,85.009
p1,p79,91.001
p1,p80,97.026
p1,p81,31.250
p1,p82,31.869
p1,p83,33.657
p1,p84,36.443
p1,p85,40.020
p1,p86,44.194
p1,p87,48.814
p1,p88,53.765
p1,p89,58.962
p1,p90,64.348
p1,p91,69.877
p1,p92,75.519
p1,p93,81.250
p1,p94,87.052
p1,p95,92.913
p1,p96,98.821
p1,p97,37.500
p1,p98,38.017
p1,p99,39.528
p1,p100,41.926
p1,p101,45.069
p1,p102,48.814
p1,p103,53.033
p1,p104,57.622
p1,p105,62.500
p1,p106,67.604
p1,p107,72.887
p1,p108,78.312
p1,p109,83.853
p1,p110,89.486
p1,p111,95.197
p1,p112,100.972
p1,p113,43.750
p1,p114,44.194
p1,p115,45.501
p1,p116,47.599
p1,p117,50.389
p1,p118,53.765
p1,p119,57.622
p1,p120,61.872
p1,p121,66.438
p1,p122,71.261
p1,p123,76.291
p1,p124,81.490
p1,p125,86.828
p1,p126,92.280
p1,p127,97.828
p1,p128,103.456
p1,p129,50.000
p1,p130,50.389
p1,p131,51.539
p1,p132,53.400
p1,p133,55.902
p1,p134,58.962
p1,p135,62.500
p1,p136,66.438
p1,p137,70.711
p1,p138,75.260
p1,p139,80.039
p1,p140,85.009
p1,p141,90.139
p1,p142,95.402
p1,p143,100.778
p1,p144,106.250
p1,p145,56.250
p1,p146,56.596
p1,p147,57.622
p1,p148,59.293
p1,p149,61.555
p1,p150,64.348
p1,p151,67.604
p1,p152,71.261
p1,p153,75.260
p1,p154,79.550
p1,p155,84.085
p1,p156,88.829
p1,p157,93.750
p1,p158,98.821
p1,p159,104.021
p1,p160,109.330
p1,p161,62.500
p1,p162,62.812
p1,p163,63.738
p1,p164,65.252
p1,p165,67.315
p1,p166,69.877
p1,p167,72.887
p1,p168,76.291
p1,p169,80.039
p1,p170,84.085
p1,p171,88.388
p1,p172,92.913
p1,p173,97.628
p1,p174,102.508
p1,p175,107.529
p1,p176,112.673
p1,p177,68.750
p1,p178,69.034
p1,p179,69.877
