from_patch,to_patch,length_km
p1,p2,5.000
p1,p3,10.000
p1,p4,15.000
p1,p5,20.000
p1,p6,25.000
p1,p7,30.000
p1,p8,35.000
p1,p9,40.000
p1,p10,45.000
p1,p11,50.000
p1,p12,55.000
p1,p13,60.000
p1,p14,65.000
p1,p15,70.000
p1,p16,75.000
p1,p17,80.000
p1,p18,85.000
p1,p19,90.000
p1,p20,95.000
p1,p21,5.000
p1,p22,7.071
p1,p23,11.180
p1,p24,15.811
p1,p25,20.616
p1,p26,25.495
p1,p27,30.414
p1,p28,35.355
p1,p29,40.311
p1,p30,45.277
p1,p31,50.249
p1,p32,55.227
p1,p33,60.208
p1,p34,65.192
p1,p35,70.178
p1,p36,75.166
p1,p37,80.156
p1,p38,85.147
p1,p39,90.139
p1,p40,95.131
p1,p41,10.000
p1,p42,11.180
p1,p43,14.142
p1,p44,18.028
p1,p45,22.361
p1,p46,26.926
p1,p47,31.623
p1,p48,36.401
p1,p49,41.231
p1,p50,46.098
p1,p51,50.990
p1,p52,55.902
p1,p53,60.828
p1,p54,65.765
p1,p55,70.711
p1,p56,75.664
p1,p57,80.623
p1,p58,85.586
p1,p59,90.554
p1,p60,95.525
p1,p61,15.000
p1,p62,15.811
p1,p63,18.028
p1,p64,21.213
p1,p65,25.000
p1,p66,29.155
p1,p67,33.541
p1,p68,38.079
p1,p69,42.720
p1,p70,47.434
p1,p71,52.202
p1,p72,57.009
p1,p73,61.847
p1,p74,66.708
p1,p75,71.589
p1,p76,76.485
p1,p77,81.394
p1,p78,86.313
p1,p79,91.241
p1,p80,96.177
p1,p81,20.000
p1,p82,20.616
p1,p83,22.361
p1,p84,25.000
p1,p85,28.284
p1,p86,32.016
p1,p87,36.056
p1,p88,40.311
p1,p89,44.721
p1,p90,49.244
p1,p91,53.852
p1,p92,58.523
p1,p93,63.246
p1,p94,68.007
p1,p95,72.801
p1,p96,77.621
p1,p97,82.462
p1,p98,87.321
p1,p99,92.195
p1,p100,97.082
p1,p101,25.000
p1,p102,25.495
p1,p103,26.926
p1,p104,29.155
p1,p105,32.016
p1,p106,35.355
p1,p107,39.051
p1,p108,43.012
p1,p109,47.170
p1,p110,51.478
p1,p111,55.902
p1,p112,60.415
p1,p113,65.000
p1,p114,69.642
p1,p115,74.330
p1,p116,79.057
p1,p117,83.815
p1,p118,88.600
p1,p119,93.408
p1,p120,98.234
p1,p121,30.000
p1,p122,30.414
p1,p123,31.623
p1,p124,33.541
p1,p125,36.056
p1,p126,39.051
p1,p127,42.426
p1,p128,46.098
p1,p129,50.000
p1,p130,54.083
p1,p131,58.310
p1,p132,62.650
p1,p133,67.082
p1,p134,71.589
p1,p135,76.158
p1,p136,80.777
p1,p137,85.440
p1,p138,90.139
p1,p139,94.868
p1,p140,99.624
p1,p141,35.000
p1,p142,35.355
p1,p143,36.401
p1,p144,38.079
p1,p145,40.311
p1,p146,43.012
p1,p147,46.098
p1,p148,49.497
p1,p149,53.151
p1,p150,57.009
p1,p151,61.033
p1,p152,65.192
p1,p153,69.462
p1,p154,73.824
p1,p155,78.262
p1,p156,82.765
p1,p157,87.321
p1,p158,91.924
p1,p159,96.566
p1,p160,101.242
p1,p161,40.000
p1,p162,40.311
p1,p163,41.231
p1,p164,42.720
p1,p165,44.721
p1,p166,47.170
p1,p167,50.000
p1,p168,53.151
p1,p169,56.569
p1,p170,60.208
p1,p171,64.031
p1,p172,68.007
p1,p173,72.111
p1,p174,76.322
p1,p175,80.623
p1,p176,85.000
p1,p177,89.443
p1,p178,93.941
p1,p179,98.489
p1,p180,103.078
p1,p181,45.000
p1,p182,45.277
p1,p183,46.098
p1,p184,47.434
p1,p185,49.244
p1,p186,51.478
p1,p187,54.083
p1,p188,57.009
p1,p189,60.208
p1,p190,63.640
p1,p191,67.268
p1,p192,71.063
p1,p193,75.000
p1,p194,79.057
p1,p195,83.217
p1,p196,87.464
p1,p197,91.788
p1,p198,96.177
p1,p199,100.623
p1,p200,105.119
p1,p201,50.000
p1,p202,50.249
p1,p203,50.990
p1,p204,52.202
p1,p205,53.852
p1,p206,55.902
p1,p207,58.310
